,,,,,,,,,,,,,,,,,,,
Category,Company Name,Ticker,Year,2012,2013,2014,2015,2016,,,,,,,,,,,
Total Square Footage,,,,,,,,,,,,,,,,,,,
Department Stores,Kohl's Corp,KSS,,83098,83671,83750,83810,82757,,,,,,,,,,,
Department Stores,Macy's Inc,M,,150600,150100,147400,141900,130200,,,,,,,,,,,
Department Stores,Nordstrom Inc,JWN,,25290,26017,27061,28610,29792,,,,,,,,,,,
Department Stores,Dillard's,DDS,,52300,50500,50500,50100,49200,,,,,,,,,,,
Department Stores,JC Penney Co Inc,JCP,,111600,110600,107900,104700,103300,,,,,,,,,,,
Department Stores,Sears Holdings,SHLD,,226842,216990,205085,186106,163045,,,,,,,,,,,
Department Stores,DSW Inc.,DSW,,8120,8687,9277,9805,10336,,,,,,,,,,,
Department Stores,Bon-Ton Stores,BONT,,21153,20944,20618,20374,20319,,,,,,,,,,,
Department Stores,Finish Line Inc,FINL,,3595,3893,4138,3755,3714,,,,,,,,,,,
Department Stores,Dick's Sporting Goods,DKS,,29579,31621,34246,36704,39271,,,,,,,,,,,
Department Stores,Foot Locker Inc,FL,,12316,12705,12734,12918,13118,,,,,,,,,,,
Department Stores,Stage Stores Inc,SSI,,15633,15799,15409,15130,14588,,,,,,,,,,,
Discount Retail,TJX Cos Inc,TJX,,69984,73209,76537,80480,83798,,,,,,,,,,,
Discount Retail,Ross Stores Inc,ROST,,27800,28900,30400,31900,33300,,,,,,,,,,,
Discount Retail,Burlington Store Inc,BURL,,-,41680,42276,43659,44992,,,,,,,,,,,
Discount Retail,Stein Mart,SMRT,,9205,9240,8640,8896,9280,,,,,,,,,,,
Discount Retail,Tuesday Morning,TUES,,8641,8593,8341,8326,8507,,,,,,,,,,,
Brand Holidng Companies,Nike Inc,NKE,,8495,9896,10907,12326,13436,,,,,,,,,,,
Brand Holidng Companies,VF Corp,VFC,,5559,5942,6960,7660,8245,,,,,,,,,,,
Brand Holidng Companies,L Brands,LB,,13561,13961,14418,14878,15495,,,,,,,,,,,
Brand Holidng Companies,Tapestry Inc,TPR,,2414,2703,2962,3040,3096,,,,,,,,,,,
Brand Holidng Companies,Hanesbrands Inc.,HBI,,1125,1286,1196,1206,1206,,,,,,,,,,,
Brand Holidng Companies,Ralph Lauren Corp,RL,,2800,3000,3000,3600,3800,,,,,,,,,,,
Brand Holidng Companies,Michael Kors Holding Ltd,KORS,,702,944,1376,1777,2258,,,,,,,,,,,
Brand Holidng Companies,Under Armour Inc,UA,,545,683,835,1246,1587,,,,,,,,,,,
Brand Holidng Companies,Abercrombie & Fitch Co.,ANF,,7958,7736,7517,7292,7007,,,,,,,,,,,
Brand Holidng Companies,American Eagle Outfitters,AEO,,4963,5206,5295,5285,5312,,,,,,,,,,,
Brand Holidng Companies,Ascena Retail Group,ASNA,,20800,21000,21200,21200,26900,,,,,,,,,,,
Brand Holidng Companies,Gap Inc,GPS,,36900,37200,38100,37900,36700,,,,,,,,,,,
Brand Holidng Companies,"Carter's, Inc",CRI,,3082,3452,3834,4327,4902,,,,,,,,,,,
Brand Holidng Companies,"Chico's FAS, Inc",CHS,,3271,3547,3706,3652,3612,,,,,,,,,,,
Brand Holidng Companies,Genesco Inc,GCO,,4038,4341,4687,4844,4522,,,,,,,,,,,
Brand Holidng Companies,Fossil Group Inc,FOSL,,791,919,981,1087,1029,,,,,,,,,,,
Brand Holidng Companies,Caleres Inc,CAL,,7551,7378,7260,7243,7288,,,,,,,,,,,
Brand Holidng Companies,Lululemon Athletica Inc,LULU,,596,740,894,1071,1190,,,,,,,,,,,
Brand Holidng Companies,"Guess?, Inc",GES,,2371,2329,2301,2211,2198,,,,,,,,,,,
Brand Holidng Companies,"Express, Inc",EXPR,,5423,5498,5529,5640,5662,,,,,,,,,,,
Brand Holidng Companies,Tailored Brands,TLRD,,7108,7116,10113,10018,9483,,,,,,,,,,,
Brand Holidng Companies,"Steve Madden, Ltd",SHOO,,188,211,294,315,355,,,,,,,,,,,
Brand Holidng Companies,"Urban Outfitters, Inc",URBN,,3409,3595,3833,3953,4132,,,,,,,,,,,
