,,,,,,,,,,,,,,,,,,,,
,Category,Company Name,Ticker,Year,2012,2013,2014,2015,2016,,,,,,,,,,,
,Department Stores,Nordstrom Inc,JWN,,27.67%,27.54%,27.97%,28.87%,29.24%,,,,,,,,,,,
,Department Stores,Dillard's,DDS,,24.76%,24.39%,24.54%,24.72%,25.80%,,,,,,,,,,,
,Department Stores,JC Penney Co Inc,JCP,,34.70%,34.69%,32.58%,29.90%,28.20%,,,,,,,,,,,
,Department Stores,Sears Holdings,SHLD,,23.06%,25.48%,25.67%,26.03%,26.01%,,,,,,,,,,,
,Department Stores,DSW Inc.,DSW,,21.23%,20.99%,20.49%,21.14%,21.55%,,,,,,,,,,,
,Department Stores,Bon-Ton Stores,BONT,,31.31%,31.73%,32.13%,32.47%,32.93%,,,,,,,,,,,
,Department Stores,Finish Line Inc,FINL,,25.35%,25.42%,25.19%,25.91%,25.96%,,,,,,,,,,,
,Department Stores,Dick's Sporting Goods,DKS,,22.23%,22.19%,21.99%,22.08%,23.06%,,,,,,,,,,,
,Department Stores,Foot Locker Inc,FL,,20.93%,20.51%,19.94%,19.09%,18.95%,,,,,,,,,,,
,Department Stores,Stage Stores Inc,SSI,,23.56%,23.56%,23.41%,23.79%,24.46%,,,,,,,,,,,
,Discount Retail,TJX Cos Inc,TJX,,16.42%,16.29%,16.15%,16.82%,17.38%,,,,,,,,,,,
,Discount Retail,Ross Stores Inc,ROST,,14.79%,14.92%,14.63%,14.56%,14.69%,,,,,,,,,,,
,Discount Retail,Burlington Store Inc,BURL,,31.51%,31.19%,31.36%,31.15%,30.82%,,,,,,,,,,,
,Discount Retail,Stein Mart,SMRT,,24.35%,25.67%,25.96%,25.28%,25.98%,,,,,,,,,,,
,Discount Retail,Tuesday Morning,TUES,,36.80%,36.80%,35.04%,34.86%,36.18%,,,,,,,,,,,
,Brand Holding Companies,Nike Inc,NKE,,30.80%,30.83%,32.22%,32.27%,31.44%,,,,,,,,,,,
,Brand Holding Companies,VF Corp,VFC,,33.06%,33.64%,33.42%,33.32%,35.31%,,,,,,,,,,,
,Brand Holding Companies,L Brands,LB,,26.01%,24.93%,24.93%,24.78%,24.83%,,,,,,,,,,,
,Brand Holding Companies,Tapestry Inc,TPR,,41.37%,43.23%,49.52%,55.31%,53.27%,,,,,,,,,,,
,Brand Holding Companies,Hanesbrands Inc.,HBI,,20.58%,21.19%,22.38%,23.34%,23.25%,,,,,,,,,,,
,Brand Holding Companies,Ralph Lauren Corp,RL,,42.96%,42.87%,43.09%,44.94%,47.21%,,,,,,,,,,,
,Brand Holding Companies,Michael Kors Holding Ltd,KORS,,28.86%,27.88%,28.37%,29.87%,32.88%,,,,,,,,,,,
,Brand Holding Companies,Under Armour Inc,UA,,36.55%,37.37%,37.55%,37.77%,37.78%,,,,,,,,,,,
,Brand Holding Companies,Abercrombie & Fitch Co.,ANF,,10.51%,11.70%,11.82%,12.87%,13.80%,,,,,,,,,,,
,Brand Holding Companies,American Eagle Outfitters,AEO,,23.84%,23.86%,24.57%,23.70%,23.76%,,,,,,,,,,,
,Brand Holding Companies,Ascena Retail Group,ASNA,,28.79%,28.25%,29.03%,30.65%,30.68%,,,,,,,,,,,
,Brand Holding Companies,Gap Inc.,GPS,,26.97%,25.72%,25.77%,25.94%,27.47%,,,,,,,,,,,
,Brand Holding Companies,"Carter's, Inc.",CRI,,29.66%,31.54%,30.49%,30.11%,31.02%,,,,,,,,,,,
,Brand Holding Companies,"Chico's FAS, Inc.",CHS,,44.99%,46.48%,47.22%,33.03%,31.30%,,,,,,,,,,,
,Brand Holding Companies,Genesco Inc.,GCO,,42.68%,43.21%,43.04%,42.45%,44.50%,,,,,,,,,,,
,Brand Holding Companies,Fossil Group Inc,FOSL,,39.11%,39.88%,40.61%,44.09%,45.51%,,,,,,,,,,,
,Brand Holding Companies,Caleres Inc.,CAL,,35.82%,36.14%,35.33%,35.30%,35.90%,,,,,,,,,,,
,Brand Holding Companies,Lululemon Athletica Inc.,LULU,,28.20%,28.20%,29.94%,30.48%,33.21%,,,,,,,,,,,
,Brand Holding Companies,"Guess?, Inc.",GES,,29.81%,28.84%,29.66%,29.80%,30.86%,,,,,,,,,,,
,Brand Holding Companies,"Express, Inc.",EXPR,,22.79%,22.72%,24.20%,24.97%,25.52%,,,,,,,,,,,
,Brand Holding Companies,Tailored Brands,TLRD,,36.54%,37.22%,35.17%,36.04%,35.84%,,,,,,,,,,,
,Brand Holding Companies,"Steve Madden, Ltd.",SHOO,,23.05%,22.46%,23.58%,24.46%,26.01%,,,,,,,,,,,
,Brand Holding Companies,"Urban Outfitters, Inc.",URBN,,23.52%,23.80%,24.36%,24.58%,25.55%,,,,,,,,,,,
